date,power_price,volume_mwh,gas_price
2017-05-19,33.3,24800.0,3.11
2017-05-22,31.15,21600.0,3.24
2017-05-23,29.43,12800.0,3.22
2017-05-24,29.54,12800.0,3.22
2017-05-26,32.8,10400.0,3.1
2017-05-30,28.86,40000.0,3.1
2017-05-31,28.18,40000.0,3.05
2017-06-01,27.97,60800.0,3.05
2017-06-02,30.5,26400.0,2.85
2017-06-05,27.31,28000.0,2.92
2017-06-06,24.03,15200.0,2.92
2017-06-07,24.75,5600.0,3.06
2017-06-08,27.46,22400.0,2.98
2017-06-09,53.59,56800.0,3.03
2017-06-12,45.43,44000.0,3.12
2017-06-13,36.56,19200.0,3.12
2017-06-14,28.91,10400.0,2.95
2017-06-15,30.3,48800.0,2.94
2017-06-16,31.37,28000.0,3.01
2017-06-19,31.92,12000.0,2.87
2017-06-20,29.23,32800.0,2.91
2017-06-21,35.51,48800.0,2.91
2017-06-22,32.16,41600.0,2.88
2017-06-23,26.93,9600.0,2.89
2017-06-26,24.63,20800.0,2.98
2017-06-27,25.91,27200.0,2.99
2017-06-28,31.19,21600.0,3.03
2017-06-29,35.05,31200.0,3.07
2017-06-30,32.03,28000.0,2.98
2017-07-03,33.5,3200.0,2.98
2017-07-05,30.76,72000.0,2.98
2017-07-06,31.76,47200.0,2.89
2017-07-07,33.22,37600.0,2.91
2017-07-10,37.29,52800.0,2.92
2017-07-11,43.21,52800.0,2.98
2017-07-12,42.18,58400.0,3.01
2017-07-13,32.5,40800.0,2.96
2017-07-14,31.69,18400.0,2.94
2017-07-17,36.1,32800.0,3.04
2017-07-18,43.77,30400.0,3.11
2017-07-19,53.05,34400.0,3.11
2017-07-20,45.21,26400.0,3.12
2017-07-21,34.6,20800.0,3.06
2017-07-24,28.97,20000.0,2.99
2017-07-25,30.41,28800.0,2.99
2017-07-26,30.94,7200.0,2.92
2017-07-27,30.0,45600.0,2.95
2017-07-28,31.51,43200.0,2.96
2017-07-31,35.21,12000.0,2.87
2017-08-01,36.44,37600.0,2.8
2017-08-02,34.76,16000.0,2.8
2017-08-03,30.52,33600.0,2.76
2017-08-04,28.86,8000.0,2.76
2017-08-07,27.5,800.0,2.8
2017-08-08,28.61,5600.0,2.81
2017-08-09,30.98,30400.0,2.81
2017-08-10,29.56,16800.0,2.89
2017-08-11,29.2,4000.0,2.96
2017-08-14,32.92,38400.0,3.02
2017-08-15,37.74,29600.0,2.96
2017-08-16,36.6,20000.0,2.94
2017-08-17,34.91,38400.0,2.91
2017-08-18,39.18,14400.0,2.9
2017-08-21,42.8,17600.0,3.0
2017-08-22,31.21,30400.0,3.0
2017-08-23,26.51,18400.0,2.94
2017-08-24,25.92,8000.0,2.97
2017-08-25,27.23,7200.0,2.93
2017-08-28,26.86,8000.0,2.95
2017-08-29,27.41,16000.0,2.95
2017-08-30,29.35,13600.0,2.95
2017-08-31,24.15,18400.0,2.92
2017-09-01,32.33,20800.0,2.88
2017-09-05,25.16,11200.0,2.88
2017-09-06,23.95,16000.0,2.98
2017-09-07,22.7,40800.0,2.92
2017-09-08,26.08,20000.0,2.88
2017-09-11,30.15,30400.0,2.88
2017-09-12,32.29,37600.0,2.88
2017-09-13,34.07,23200.0,3.02
2017-09-14,35.12,18400.0,3.03
2017-09-15,35.84,36800.0,3.0
2017-09-18,36.22,48000.0,3.11
2017-09-19,44.4,31200.0,3.18
2017-09-20,51.44,31200.0,3.13
2017-09-21,53.24,61600.0,3.11
2017-09-22,68.98,35200.0,2.93
2017-09-25,49.01,31200.0,2.96
2017-09-26,38.76,49600.0,2.96
2017-09-27,32.7,16000.0,2.98
2017-09-28,27.49,28800.0,2.96
2017-09-29,30.14,19200.0,2.94
2017-10-02,31.98,24800.0,2.94
2017-10-03,35.14,23200.0,2.73
2017-10-04,39.22,36800.0,2.8
2017-10-05,38.43,20800.0,2.8
2017-10-06,47.53,42400.0,2.93
2017-10-09,50.16,41600.0,2.87
2017-10-10,37.11,40800.0,2.89
2017-10-11,31.35,9600.0,2.89
2017-10-12,29.2,27200.0,2.95
2017-10-13,30.23,9600.0,2.99
2017-10-16,31.89,28800.0,2.87
2017-10-17,30.28,27200.0,2.88
2017-10-18,28.66,44800.0,2.81
2017-10-19,27.09,16800.0,2.83
2017-10-20,30.44,22400.0,2.8
2017-10-23,31.02,24800.0,2.95
2017-10-24,31.14,8800.0,2.95
2017-10-25,30.36,22400.0,2.98
2017-10-26,28.0,1600.0,2.91
2017-10-27,33.53,8000.0,2.78
2017-10-30,32.63,22400.0,2.94
2017-10-31,33.5,8800.0,2.84
2017-11-01,30.14,18400.0,2.68
2017-11-02,29.77,69600.0,2.68
2017-11-03,34.16,44000.0,2.75
2017-11-06,35.3,40000.0,3.01
2017-11-07,44.64,47200.0,3.07
2017-11-08,51.13,67200.0,3.16
2017-11-09,58.28,65600.0,3.18
2017-11-10,40.87,17600.0,3.17
2017-11-13,40.39,16000.0,3.13
2017-11-14,34.11,39200.0,3.06
2017-11-15,32.95,33600.0,3.16
2017-11-16,31.25,26400.0,3.09
2017-11-17,34.17,33600.0,3.04
2017-11-20,27.8,28800.0,3.04
2017-11-21,28.0,20800.0,3.05
2017-11-22,24.63,12000.0,3.05
2017-11-24,30.08,12000.0,3.05
2017-11-27,27.57,19200.0,2.88
2017-11-28,28.17,16800.0,2.88
2017-11-29,28.75,1600.0,3.06
2017-11-30,27.53,11200.0,3.06
2017-12-01,28.21,32800.0,2.84
2017-12-04,28.78,49600.0,2.91
2017-12-05,30.2,35200.0,2.86
2017-12-06,37.44,34400.0,2.86
2017-12-07,36.97,85600.0,2.81
2017-12-08,40.28,48000.0,2.78
2017-12-11,39.38,123200.0,2.81
2017-12-12,47.76,32000.0,2.87
2017-12-13,40.9,34400.0,2.87
2017-12-14,38.52,32800.0,2.69
2017-12-15,29.73,19200.0,2.6
2017-12-18,27.32,18400.0,2.71
2017-12-19,28.79,8800.0,2.75
2017-12-20,32.29,11200.0,2.72
2017-12-21,25.69,33600.0,2.64
2017-12-22,34.22,40800.0,2.63
2017-12-26,68.85,49600.0,2.68
2017-12-27,125.29,35200.0,2.76
2017-12-28,104.69,31200.0,2.97
2017-12-29,186.89,28800.0,3.69
2018-01-03,172.81,40000.0,6.24
2018-01-04,366.91,61600.0,4.65
2018-01-09,36.31,64000.0,2.93
2018-01-10,29.31,17600.0,3.16
2018-01-11,29.93,36000.0,3.16
2018-01-12,82.65,73600.0,4.06
2018-01-16,107.95,44800.0,5.46
2018-01-17,64.23,40800.0,3.92
2018-01-18,39.14,31200.0,3.92
2018-01-19,30.16,32800.0,3.2
2018-01-22,26.28,29600.0,3.13
2018-01-23,32.5,15200.0,3.35
2018-01-24,40.31,28800.0,3.54
2018-01-25,33.2,54400.0,3.54
2018-01-26,31.42,19200.0,3.58
2018-01-29,46.65,20000.0,3.6
2018-01-30,47.04,26400.0,3.6
2018-01-31,35.12,44800.0,3.34
2018-02-01,54.6,88800.0,3.06
2018-02-02,43.31,43200.0,2.91
2018-02-05,32.09,75200.0,2.85
2018-02-06,31.92,100800.0,2.75
2018-02-07,38.38,8000.0,2.74
2018-02-08,31.6,23200.0,2.74
2018-02-09,28.13,14400.0,2.66
2018-02-12,30.68,28800.0,2.6
2018-02-13,24.66,16000.0,2.58
2018-02-14,22.71,8800.0,2.53
2018-02-15,23.87,8000.0,2.49
2018-02-16,24.77,41600.0,2.49
2018-02-20,24.29,26400.0,2.61
2018-02-21,29.89,40000.0,2.65
2018-02-22,27.21,16000.0,2.65
2018-02-23,25.61,20000.0,2.58
2018-02-26,26.46,3200.0,2.6
2018-02-27,26.22,20000.0,2.59
2018-02-28,27.28,45600.0,2.66
2018-03-01,32.58,26400.0,2.67
2018-03-02,33.34,18400.0,2.67
2018-03-05,33.69,16800.0,2.7
2018-03-06,36.54,16800.0,2.7
2018-03-07,38.75,32800.0,2.8
2018-03-08,35.58,20000.0,2.8
2018-03-09,38.81,44000.0,2.71
2018-03-12,54.14,44000.0,2.78
2018-03-13,43.64,39200.0,2.76
2018-03-14,36.3,19200.0,2.69
2018-03-15,35.11,28800.0,2.7
2018-03-16,33.91,21600.0,2.62
2018-03-19,46.13,24800.0,2.62
2018-03-20,49.84,56000.0,2.71
2018-03-21,44.02,41600.0,2.74
2018-03-22,35.13,42400.0,2.62
2018-03-23,35.02,16800.0,2.58
2018-03-26,32.54,13600.0,2.63
2018-03-27,31.79,12000.0,2.6
2018-03-28,31.37,40000.0,2.64
2018-03-29,25.89,25600.0,2.81
2018-04-02,34.15,26400.0,2.75
2018-04-03,33.9,18400.0,2.75
2018-04-04,40.55,36800.0,2.81
2018-04-05,34.23,25600.0,2.81
2018-04-06,48.31,19200.0,2.81
2018-04-09,40.72,20800.0,2.78
2018-04-10,34.7,35200.0,2.78
2018-04-11,31.65,16000.0,2.74
2018-04-12,30.31,18400.0,2.76
2018-04-13,41.08,23200.0,2.82
2018-04-16,48.88,40000.0,2.88
2018-04-17,38.8,11200.0,2.84
2018-04-18,39.26,36800.0,2.85
2018-04-19,41.79,52800.0,2.8
2018-04-20,36.12,23200.0,2.78
2018-04-23,38.99,57600.0,2.78
2018-04-24,37.37,30400.0,2.79
2018-04-25,36.78,4000.0,2.81
2018-04-26,34.64,31200.0,2.81
2018-04-27,37.29,50400.0,2.82
2018-04-30,38.51,31200.0,2.75
2018-05-01,47.13,39200.0,2.75
2018-05-02,57.29,32000.0,2.77
2018-05-03,51.45,63200.0,2.75
2018-05-04,31.43,21600.0,2.75
2018-05-07,33.69,38400.0,2.74
2018-05-08,38.02,36000.0,2.77
2018-05-09,38.66,47200.0,2.75
2018-05-10,36.19,32000.0,2.78
2018-05-11,48.99,36000.0,2.75
2018-05-14,58.69,45600.0,2.84
2018-05-15,39.44,28000.0,2.83
2018-05-16,35.19,58400.0,2.85
2018-05-17,33.06,24000.0,2.75
2018-05-18,40.59,45600.0,2.75
2018-05-21,39.45,61600.0,2.77
2018-05-22,41.92,42400.0,2.76
2018-05-23,46.83,62400.0,2.89
2018-05-24,56.81,20000.0,2.88
2018-05-25,61.93,67200.0,2.88
2018-05-29,36.25,16800.0,2.84
2018-05-30,50.83,61600.0,2.83
2018-05-31,58.21,63200.0,2.94
2018-06-01,30.05,29600.0,2.91
2018-06-04,28.83,40000.0,2.89
2018-06-05,27.75,32000.0,2.89
2018-06-06,32.57,23200.0,2.89
2018-06-07,35.83,12000.0,3.02
2018-06-08,30.09,6400.0,2.91
2018-06-11,28.37,26400.0,3.0
2018-06-12,34.04,24000.0,2.98
2018-06-13,34.52,26400.0,2.98
2018-06-14,32.51,5600.0,2.99
2018-06-15,74.49,28800.0,3.02
2018-06-18,48.03,107200.0,2.99
2018-06-19,33.82,32000.0,2.95
2018-06-20,32.52,28000.0,2.96
2018-06-21,28.03,32000.0,3.08
2018-06-22,32.3,16000.0,2.95
2018-06-25,31.6,36800.0,2.96
2018-06-26,29.57,32000.0,2.98
2018-06-27,38.6,33600.0,3.01
2018-06-28,50.64,45600.0,2.99
2018-06-29,64.87,31200.0,2.96
2018-07-02,64.49,44000.0,2.9
2018-07-03,47.39,39200.0,2.9
2018-07-05,34.62,39200.0,2.91
2018-07-06,37.02,39200.0,2.91
2018-07-09,40.94,62400.0,2.9
2018-07-10,37.68,12000.0,2.9
2018-07-11,34.16,24000.0,2.89
2018-07-12,38.49,12800.0,2.89
2018-07-13,50.29,25600.0,2.86
2018-07-16,40.88,14400.0,2.76
2018-07-17,33.38,24800.0,2.81
2018-07-18,33.6,15200.0,2.8
2018-07-19,34.84,31200.0,2.75
2018-07-20,37.5,800.0,2.79
2018-07-23,35.93,30400.0,2.79
2018-07-24,37.52,43200.0,2.73
2018-07-25,41.38,32000.0,2.82
2018-07-26,37.32,18400.0,2.82
2018-07-27,68.34,32000.0,2.78
2018-07-30,33.13,30400.0,2.75
2018-07-31,36.59,22400.0,2.82
2018-08-01,39.15,23200.0,2.8
2018-08-02,35.16,26400.0,2.77
2018-08-03,48.44,21600.0,2.86
2018-08-06,46.16,20800.0,2.85
2018-08-07,41.16,27200.0,2.95
2018-08-08,39.0,8000.0,2.99
2018-08-09,37.98,17600.0,3.02
2018-08-10,35.73,16000.0,2.96
2018-08-13,37.13,29600.0,2.92
2018-08-14,38.67,8000.0,3.02
2018-08-15,39.77,8800.0,3.02
2018-08-16,40.3,14400.0,3.02
2018-08-17,35.04,6400.0,3.01
2018-08-20,32.54,13600.0,3.04
2018-08-21,33.07,24000.0,3.01
2018-08-22,29.86,7200.0,3.02
2018-08-23,28.66,20000.0,3.01
2018-08-24,46.07,21600.0,2.99
2018-08-27,54.3,20000.0,2.98
2018-08-28,48.26,23200.0,2.98
2018-08-29,40.88,16800.0,2.96
2018-08-30,33.19,9600.0,2.96
2018-08-31,52.78,22400.0,2.98
2018-09-04,52.84,28000.0,2.96
2018-09-05,43.3,15200.0,3.0
2018-09-06,34.94,27200.0,2.93
2018-09-07,32.6,25600.0,2.88
2018-09-10,36.03,8000.0,2.9
2018-09-11,36.73,40000.0,2.94
2018-09-12,39.63,31200.0,2.98
2018-09-13,45.15,61600.0,2.94
2018-09-14,41.05,32000.0,2.91
2018-09-17,48.42,58400.0,2.95
2018-09-18,47.32,15200.0,3.0
2018-09-19,50.13,12800.0,3.11
2018-09-20,47.71,39200.0,3.07
2018-09-21,36.04,56800.0,3.02
2018-09-24,37.88,19200.0,3.04
2018-09-25,43.19,14400.0,3.12
2018-09-26,30.92,18400.0,3.1
2018-09-27,29.75,19200.0,3.05
2018-09-28,39.41,11200.0,3.01
2018-10-01,42.97,20000.0,3.13
2018-10-02,42.81,22400.0,3.14
2018-10-03,42.95,24000.0,3.26
2018-10-04,32.88,6400.0,3.39
2018-10-05,46.72,28000.0,3.25
2018-10-08,53.48,21600.0,3.28
2018-10-09,47.3,23200.0,3.4
2018-10-10,36.5,11200.0,3.45
2018-10-11,30.28,22400.0,3.16
2018-10-12,32.1,20000.0,3.19
2018-10-15,35.1,11200.0,3.26
2018-10-16,31.11,25600.0,3.27
2018-10-17,35.36,27200.0,3.3
2018-10-18,32.01,3200.0,3.28
2018-10-19,38.18,14400.0,3.2
2018-10-22,35.0,24000.0,3.2
2018-10-23,39.02,20000.0,3.28
2018-10-24,42.08,19200.0,3.42
2018-10-25,40.33,32800.0,3.42
2018-10-26,40.07,12800.0,3.27
2018-10-29,36.8,53600.0,3.2
2018-10-30,33.26,25600.0,3.27
2018-10-31,34.56,31200.0,3.31
2018-11-01,33.53,34400.0,3.36
2018-11-02,37.28,20800.0,3.26
2018-11-05,36.45,25600.0,3.53
2018-11-06,36.16,7200.0,3.53
2018-11-07,40.03,18400.0,3.54
2018-11-08,45.92,47200.0,3.54
2018-11-09,47.25,12800.0,3.74
2018-11-12,43.95,22400.0,3.96
2018-11-13,50.41,4800.0,4.1
2018-11-14,62.25,12800.0,4.1
2018-11-15,44.53,24800.0,4.69
2018-11-16,44.35,4800.0,4.3
2018-11-19,39.29,28800.0,4.65
2018-11-20,41.05,12000.0,4.65
2018-11-21,44.1,34400.0,4.7
2018-11-26,44.78,21600.0,4.28
2018-11-27,47.76,18400.0,4.28
2018-11-28,44.34,9600.0,4.5
2018-11-29,38.82,13600.0,4.5
2018-11-30,37.72,28000.0,4.61
2018-12-03,44.79,21600.0,4.4
2018-12-04,53.98,9600.0,4.4
2018-12-05,50.67,4800.0,4.69
2018-12-06,44.03,31200.0,4.44
2018-12-07,48.12,25600.0,4.51
2018-12-10,48.93,10400.0,4.54
2018-12-11,42.43,24000.0,4.53
2018-12-12,37.45,16000.0,4.53
2018-12-13,34.91,10400.0,4.31
2018-12-14,37.6,8800.0,3.99
2018-12-17,40.09,20000.0,3.8
2018-12-18,36.56,12000.0,3.8
2018-12-19,35.73,23200.0,3.64
2018-12-20,30.12,14400.0,3.7
2018-12-21,28.12,4800.0,3.7
2018-12-26,31.01,8800.0,3.42
2018-12-27,25.2,13600.0,3.1
2018-12-28,26.96,15200.0,3.25
2019-01-02,28.95,21600.0,3.25
2019-01-03,26.16,23200.0,2.72
2019-01-04,30.45,23200.0,2.8
2019-01-07,24.89,24800.0,2.74
2019-01-08,31.03,39200.0,2.89
2019-01-09,36.06,67200.0,2.92
2019-01-10,40.57,48000.0,2.95
2019-01-11,36.46,48000.0,2.95
2019-01-14,36.59,28800.0,3.36
2019-01-15,31.78,12800.0,3.54
2019-01-16,35.38,13600.0,3.58
2019-01-17,32.27,19200.0,3.58
2019-01-18,98.64,57600.0,3.43
2019-01-22,31.32,32800.0,3.43
2019-01-23,29.67,27200.0,3.13
2019-01-24,38.81,31200.0,3.13
2019-01-25,31.76,27200.0,3.07
2019-01-28,35.29,40800.0,3.05
2019-01-29,70.75,84800.0,2.94
2019-01-30,93.18,97600.0,3.0
2019-01-31,46.87,111200.0,2.82
2019-02-01,26.55,13600.0,2.7
2019-02-04,24.16,19200.0,2.57
2019-02-05,25.54,24800.0,2.54
2019-02-06,22.58,22400.0,2.58
2019-02-07,26.4,10400.0,2.62
2019-02-08,30.76,5600.0,2.66
2019-02-11,29.98,28800.0,2.76
2019-02-12,27.92,27200.0,2.71
2019-02-13,25.98,21600.0,2.61
2019-02-14,24.14,7200.0,2.61
2019-02-15,29.43,14400.0,2.59
2019-02-19,35.22,29600.0,2.69
2019-02-20,26.39,11200.0,2.69
2019-02-21,27.12,22400.0,2.73
2019-02-22,30.42,6400.0,2.74
2019-02-25,35.48,20000.0,2.84
2019-02-26,31.74,19200.0,2.74
2019-02-27,31.98,21600.0,2.89
2019-02-28,33.56,43200.0,2.89
2019-03-01,42.68,27200.0,3.19
2019-03-04,48.88,36800.0,4.25
2019-03-05,45.53,34400.0,3.18
2019-03-06,37.68,20800.0,3.18
2019-03-07,34.36,79200.0,2.9
2019-03-08,31.46,6400.0,2.9
2019-03-11,32.61,41600.0,2.86
2019-03-12,33.06,28000.0,2.83
2019-03-13,27.27,10400.0,2.87
2019-03-14,25.07,17600.0,2.95
2019-03-18,34.5,4000.0,2.9
2019-03-19,32.13,9600.0,2.92
2019-03-20,32.68,23200.0,2.86
2019-03-21,33.53,29600.0,2.86
2019-03-22,33.9,6400.0,2.75
2019-03-25,33.94,16800.0,2.72
2019-03-26,31.96,4000.0,2.74
2019-03-27,27.12,12800.0,2.69
2019-03-28,25.51,14400.0,2.69
2019-03-29,34.25,3200.0,2.73
2019-04-01,31.11,22400.0,2.73
2019-04-02,28.35,8800.0,2.76
2019-04-03,28.44,12800.0,2.74
2019-04-04,31.28,8000.0,2.66
2019-04-05,34.03,12800.0,2.62
2019-04-08,34.93,12800.0,2.72
2019-04-09,29.6,32000.0,2.71
2019-04-10,27.57,13600.0,2.72
2019-04-11,26.89,12800.0,2.72
2019-04-12,31.05,8000.0,2.75
2019-04-15,29.89,20000.0,2.75
2019-04-16,27.05,19200.0,2.66
2019-04-17,30.61,14400.0,2.55
2019-04-18,25.93,10400.0,2.54
2019-04-22,29.27,15200.0,2.61
2019-04-23,30.19,8800.0,2.53
2019-04-24,27.93,15200.0,2.53
2019-04-25,27.25,10400.0,2.54
2019-04-26,28.41,5600.0,2.58
2019-04-29,32.65,35200.0,2.58
2019-04-30,32.81,38400.0,2.59
2019-05-01,38.37,22400.0,2.59
2019-05-02,31.54,30400.0,2.63
2019-05-03,28.57,21600.0,2.59
2019-05-06,27.62,30400.0,2.54
2019-05-07,25.89,14400.0,2.54
2019-05-08,25.14,4800.0,2.64
2019-05-09,26.48,23200.0,2.62
2019-05-10,25.02,16000.0,2.64
2019-05-13,26.4,12800.0,2.71
2019-05-14,25.7,5600.0,2.7
2019-05-15,27.4,4800.0,2.69
2019-05-16,29.73,10400.0,2.62
2019-05-17,36.58,26400.0,2.61
2019-05-20,26.93,41600.0,2.7
2019-05-21,26.28,16000.0,2.73
2019-05-22,31.66,23200.0,2.73
2019-05-23,27.83,65600.0,2.56
2019-05-24,40.49,55200.0,2.6
2019-05-28,35.35,42400.0,2.65
2019-05-29,33.09,24000.0,2.69
2019-05-30,28.17,20800.0,2.69
2019-05-31,24.66,29600.0,2.59
2019-06-03,24.02,16800.0,2.5
2019-06-04,29.11,32000.0,2.45
2019-06-05,31.27,8800.0,2.45
2019-06-06,26.59,16000.0,2.4
2019-06-07,25.82,8800.0,2.43
2019-06-10,23.4,16000.0,2.42
2019-06-11,22.82,9600.0,2.41
2019-06-12,21.18,20000.0,2.43
2019-06-13,20.75,3200.0,2.43
2019-06-14,31.36,23200.0,2.37
2019-06-17,27.5,20800.0,2.46
2019-06-18,26.65,15200.0,2.44
2019-06-19,29.01,20000.0,2.43
2019-06-20,23.81,5600.0,2.38
2019-06-21,30.61,10400.0,2.27
2019-06-24,30.77,4800.0,2.31
2019-06-25,32.11,24000.0,2.31
2019-06-26,34.82,20800.0,2.34
2019-06-27,35.63,29600.0,2.32
2019-06-28,28.47,14400.0,2.42
2019-07-01,32.2,10400.0,2.33
2019-07-02,33.85,3200.0,2.3
2019-07-03,29.35,1600.0,2.29
2019-07-08,30.26,8000.0,2.39
2019-07-09,37.27,22400.0,2.41
2019-07-10,36.63,20000.0,2.49
2019-07-11,32.08,13600.0,2.54
2019-07-12,33.55,15200.0,2.54
2019-07-15,34.13,24800.0,2.53
2019-07-16,38.42,36800.0,2.53
2019-07-17,40.23,47200.0,2.44
2019-07-18,52.16,42400.0,2.38
2019-07-19,32.41,18400.0,2.3
2019-07-22,25.03,32800.0,2.33
2019-07-23,24.76,16000.0,2.34
2019-07-24,28.22,16800.0,2.33
2019-07-25,30.77,21600.0,2.26
2019-07-26,33.92,9600.0,2.23
2019-07-29,34.84,22400.0,2.23
2019-07-30,29.34,16000.0,2.22
2019-07-31,28.91,14400.0,2.28
2019-08-01,27.94,12000.0,2.36
2019-08-02,31.08,4000.0,2.12
2019-08-05,32.67,4000.0,2.02
2019-08-06,30.66,21600.0,2.15
2019-08-07,28.95,17600.0,2.18
2019-08-08,27.0,800.0,2.13
2019-08-09,31.11,5600.0,2.09
2019-08-12,29.78,15200.0,2.21
2019-08-13,28.02,4000.0,2.24
2019-08-14,27.5,800.0,2.22
2019-08-15,29.25,19200.0,2.19
2019-08-16,40.05,41600.0,2.2
2019-08-19,35.52,16800.0,2.26
2019-08-20,33.27,19200.0,2.35
2019-08-21,30.38,14400.0,2.31
2019-08-22,24.38,9600.0,2.28
2019-08-23,24.88,9600.0,2.15
2019-08-26,23.46,22400.0,2.23
2019-08-27,25.4,4000.0,2.24
2019-08-28,25.18,6400.0,2.24
2019-08-29,26.63,11200.0,2.36
2019-08-30,32.93,12800.0,2.33
2019-09-03,32.11,29600.0,2.39
2019-09-04,25.22,16800.0,2.48
2019-09-05,24.91,20000.0,2.49
2019-09-06,29.72,16800.0,2.49
2019-09-09,37.6,44000.0,2.65
2019-09-10,43.19,26400.0,2.67
2019-09-11,41.77,40800.0,2.63
2019-09-12,29.51,16000.0,2.62
2019-09-13,42.75,12000.0,2.61
2019-09-16,30.83,11200.0,2.75
2019-09-17,27.31,8000.0,2.7
2019-09-18,25.05,5600.0,2.72
2019-09-19,26.01,16000.0,2.65
2019-09-20,36.32,8800.0,2.34
2019-09-23,28.57,26400.0,2.55
2019-09-24,30.82,16800.0,2.55
2019-09-25,32.33,28800.0,2.54
2019-09-26,29.93,4000.0,2.57
2019-09-27,39.63,19200.0,2.41
2019-09-30,40.81,26400.0,2.37
2019-10-01,60.85,20000.0,2.36
2019-10-02,41.37,31200.0,2.36
2019-10-03,25.95,4800.0,2.31
2019-10-04,27.01,18400.0,2.25
2019-10-07,24.8,23200.0,2.36
2019-10-08,24.44,6400.0,2.29
2019-10-09,24.29,17600.0,2.26
2019-10-10,23.51,9600.0,2.26
2019-10-14,26.28,13600.0,2.13
2019-10-15,25.82,30400.0,2.29
2019-10-17,24.99,12800.0,2.29
2019-10-18,27.75,4800.0,2.08
2019-10-21,30.82,11200.0,2.13
2019-10-22,30.74,12800.0,2.21
